id,partition,genre,fold_no
b1g-fragment02_759_22_9_1_discusses,train,academic,2
b1g-fragment02_759_22_17_1_promoting,train,academic,2
b1g-fragment02_759_22_30_1_identified,train,academic,2
b1g-fragment02_760_23_2_1_points,train,academic,2
b1g-fragment02_761_24_4_1_indicates,train,academic,2
b1g-fragment02_761_24_12_1_involved,train,academic,2
b1g-fragment02_761_24_14_1_monitoring,train,academic,2
b1g-fragment02_761_24_18_1_draws,train,academic,2
b1g-fragment02_761_24_29_1_playing,train,academic,2
b1g-fragment02_761_24_31_1_co-ordinating,train,academic,2
b1g-fragment02_762_25_9_1_discusses,train,academic,2
b1g-fragment02_762_25_14_1_carried,train,academic,2
b1g-fragment02_763_26_2_1_highlights,train,academic,2
b1g-fragment02_763_26_10_1_categorized,train,academic,2
b1g-fragment02_763_26_19_1_varying,train,academic,2
b1g-fragment02_764_27_6_1_draws,train,academic,2
b1g-fragment02_764_27_17_1_involved,train,academic,2
b1g-fragment02_765_28_2_1_include,train,academic,2
b1g-fragment02_765_28_17_1_checking,train,academic,2
b1g-fragment02_765_28_38_1_based,train,academic,2
b1g-fragment02_765_28_42_1_extracting,train,academic,2
b1g-fragment02_766_29_7_1_consider,train,academic,2
b1g-fragment02_766_29_16_1_including,train,academic,2
b1g-fragment02_767_30_9_1_straddles,train,academic,2
b1g-fragment02_768_31_2_1_model,train,academic,2
b1g-fragment02_768_31_11_1_generated,train,academic,2
b1g-fragment02_768_31_21_1_surrounding,train,academic,2
b1g-fragment02_768_31_36_1_required,train,academic,2
b1g-fragment02_769_32_8_1_argue,train,academic,2
b1g-fragment02_769_32_22_1_play,train,academic,2
b1g-fragment02_769_32_25_1_give,train,academic,2
b1g-fragment02_769_32_35_1_illustrate,train,academic,2
b1g-fragment02_770_33_9_1_amplifies,train,academic,2
b1g-fragment02_770_33_14_1_raised,train,academic,2
b1g-fragment02_770_33_22_1_caused,train,academic,2
b1g-fragment02_770_33_40_1_overcome,train,academic,2
b1g-fragment02_770_33_45_1_associated,train,academic,2
b1g-fragment02_770_33_47_1_linking,train,academic,2
b1g-fragment02_771_34_13_1_see,train,academic,2
b1g-fragment02_772_35_1_1_given,train,academic,2
b1g-fragment02_772_35_8_1_requiring,train,academic,2
b1g-fragment02_772_35_14_1_managing,train,academic,2
b1g-fragment02_772_35_19_1_means,train,academic,2
b1g-fragment02_772_35_26_1_built,train,academic,2
b1g-fragment02_772_35_34_1_utilized,train,academic,2
b1g-fragment02_772_35_43_1_taken,train,academic,2
b1g-fragment02_773_36_8_1_characterized,train,academic,2
b1g-fragment02_774_37_2_1_include,train,academic,2
b1g-fragment02_775_38_1_1_according,train,academic,2
b1g-fragment02_775_38_5_1_share,train,academic,2
b1g-fragment02_776_39_11_1_developing,train,academic,2
b1g-fragment02_776_39_15_1_modelling,train,academic,2
b1g-fragment02_776_39_17_1_changing,train,academic,2
b1g-fragment02_777_40_10_1_draws,train,academic,2
b1g-fragment02_777_40_26_1_constrained,train,academic,2
b1g-fragment02_777_40_51_1_varying,train,academic,2
b1g-fragment02_777_40_56_1_presented,train,academic,2
b1g-fragment02_778_41_3_1_occupy,train,academic,2
b1g-fragment02_778_41_17_1_given,train,academic,2
b1g-fragment02_778_41_19_1_illustrate,train,academic,2
b1g-fragment02_778_41_28_1_hampered,train,academic,2
b1g-fragment02_778_41_30_1_facilitated,train,academic,2
b1g-fragment02_779_42_5_1_reviews,train,academic,2
b1g-fragment02_780_43_2_1_describes,train,academic,2
b1g-fragment02_780_43_19_1_illustrates,train,academic,2
b1g-fragment02_780_43_24_1_drawn,train,academic,2
b1g-fragment02_781_44_2_1_demonstrates,train,academic,2
b1g-fragment02_781_44_16_1_led,train,academic,2
b1g-fragment02_781_44_21_1_improved,train,academic,2
b1g-fragment02_781_44_31_1_according,train,academic,2
b1g-fragment02_781_44_39_1_live,train,academic,2
b1g-fragment02_782_45_9_1_identifies,train,academic,2
b1g-fragment02_783_46_11_1_concerned,train,academic,2
b1g-fragment02_784_47_4_1_feature,train,academic,2
b1g-fragment02_784_47_11_1_amplifies,train,academic,2
b1g-fragment02_784_47_16_1_made,train,academic,2
b1g-fragment02_785_48_3_1_points,train,academic,2
b1g-fragment02_785_48_16_1_takes,train,academic,2
b1g-fragment02_786_49_19_1_explore,train,academic,2
b1g-fragment02_786_49_22_1_affecting,train,academic,2
b1g-fragment02_787_50_13_1_made,train,academic,2
b1g-fragment02_787_50_18_1_specialized,train,academic,2
b1g-fragment02_788_51_12_1_raised,train,academic,2
b1g-fragment02_788_51_31_1_discussed,train,academic,2
b1g-fragment02_789_52_3_1_features,train,academic,2
b1g-fragment02_789_52_10_1_relating,train,academic,2
b1g-fragment02_790_53_2_1_relating,train,academic,2
b1g-fragment02_790_53_6_1_emerge,train,academic,2
b1g-fragment02_791_54_5_1_relating,train,academic,2
b1g-fragment02_793_56_12_1_suggest,train,academic,2
b1g-fragment02_795_58_3_1_highlight,train,academic,2
b1g-fragment02_795_58_13_1_regarded,train,academic,2
b1g-fragment02_795_58_26_1_viewed,train,academic,2
b1g-fragment02_796_59_21_1_need,train,academic,2
b1g-fragment02_796_59_24_1_taken,train,academic,2
b1g-fragment02_796_59_28_1_handling,train,academic,2
b1g-fragment02_797_60_2_1_presents,train,academic,2
b1g-fragment02_797_60_13_1_involved,train,academic,2
b1g-fragment02_798_61_3_1_cuts,train,academic,2
b1g-fragment02_798_61_9_1_relating,train,academic,2
b1g-fragment02_798_61_15_1_raised,train,academic,2
b1g-fragment02_798_61_20_1_draws,train,academic,2
b1g-fragment02_798_61_26_1_neglecting,train,academic,2
b1g-fragment02_799_62_11_1_indicates,train,academic,2
b1g-fragment02_799_62_16_1_dominate,train,academic,2
b1g-fragment02_799_62_26_1_devised,train,academic,2
b1g-fragment02_799_62_28_1_fail,train,academic,2
b1g-fragment02_799_62_30_1_take,train,academic,2
b1g-fragment02_800_63_2_1_discusses,train,academic,2
b1g-fragment02_801_64_7_1_summarized,train,academic,2
b1g-fragment02_802_65_5_1_sets,train,academic,2
b1g-fragment02_802_65_14_1_serves,train,academic,2
b1g-fragment02_802_65_24_1_set,train,academic,2
b1g-fragment02_806_69_15_1_recognized,train,academic,2
b1g-fragment02_807_70_6_1_manifested,train,academic,2
b1g-fragment02_807_70_34_1_decreasing,train,academic,2
b1g-fragment02_808_71_4_1_concentrate,train,academic,2
b1g-fragment02_808_71_14_1_describe,train,academic,2
b1g-fragment02_809_72_13_1_reckoned,train,academic,2
b1g-fragment02_809_72_16_1_caused,train,academic,2
b1g-fragment02_809_72_24_1_running,train,academic,2
b1g-fragment02_810_73_8_1_noted,train,academic,2
b1g-fragment02_812_75_4_1_put,train,academic,2
b1g-fragment02_812_75_16_1_killed,train,academic,2
b1g-fragment02_814_77_4_1_killed,train,academic,2
b1g-fragment02_814_77_7_1_injured,train,academic,2
b1g-fragment02_816_79_4_1_caused,train,academic,2
b1g-fragment02_818_81_6_1_caused,train,academic,2
b1g-fragment02_818_81_11_1_transported,train,academic,2
b1g-fragment02_820_83_5_1_died,train,academic,2
b1g-fragment02_820_83_9_1_caused,train,academic,2
b1g-fragment02_821_84_28_1_moving,train,academic,2
b1g-fragment02_822_85_6_1_emphasized,train,academic,2
b1g-fragment02_822_85_31_1_concentrated,train,academic,2
b1g-fragment02_822_85_42_1_begun,train,academic,2
b1g-fragment02_824_87_5_1_convert,train,academic,2
b1g-fragment02_824_87_10_1_held,train,academic,2
b1g-fragment02_824_87_22_1_solving,train,academic,2
b1g-fragment02_824_87_26_1_shown,train,academic,2
b1g-fragment02_825_88_6_1_identified,train,academic,2
b1g-fragment02_825_88_12_1_shown,train,academic,2
b1g-fragment02_825_88_16_1_act,train,academic,2
b1g-fragment02_827_90_3_1_cut,train,academic,2
b1g-fragment02_828_91_3_1_spending,train,academic,2
b1g-fragment02_828_91_7_1_cleansing,train,academic,2
b1g-fragment02_829_92_7_1_cost,train,academic,2
b1g-fragment02_829_92_11_1_believe,train,academic,2
b1g-fragment02_829_92_19_1_spent,train,academic,2
b1g-fragment02_830_93_3_1_espouses,train,academic,2
b1g-fragment02_831_94_5_1_achieved,train,academic,2
b1g-fragment02_831_94_9_1_provided,train,academic,2
b1g-fragment02_831_94_13_1_nurtured,train,academic,2
b1g-fragment02_831_94_15_1_safeguarded,train,academic,2
b1g-fragment02_833_96_2_1_criticized,train,academic,2
b1g-fragment02_833_96_14_1_represented,train,academic,2
b1g-fragment02_834_97_4_1_dealt,train,academic,2
b1g-fragment02_834_97_43_1_enhancing,train,academic,2
b1g-fragment02_835_98_6_1_said,train,academic,2
b1g-fragment02_837_100_29_1_seems,train,academic,2
b1g-fragment02_838_101_8_1_reported,train,academic,2
b1g-fragment02_838_101_21_1_met,train,academic,2
b1g-fragment02_838_101_26_1_discuss,train,academic,2
b1g-fragment02_838_101_34_1_respond,train,academic,2
b1g-fragment02_839_102_5_1_argued,train,academic,2
b1g-fragment02_839_102_22_1_assessed,train,academic,2
b1g-fragment02_839_102_29_1_seems,train,academic,2
b1g-fragment02_839_102_42_1_proceed,train,academic,2
b1g-fragment02_840_103_1_1_given,train,academic,2
b1g-fragment02_840_103_13_1_sought,train,academic,2
b1g-fragment02_840_103_15_1_demonstrate,train,academic,2
b1g-fragment02_840_103_29_1_illustrates,train,academic,2
b1g-fragment02_841_104_4_1_seems,train,academic,2
b1g-fragment02_841_104_25_1_happen,train,academic,2
b1g-fragment02_841_104_39_1_worried,train,academic,2
b1g-fragment02_842_105_5_1_see,train,academic,2
b1g-fragment02_842_105_18_1_requires,train,academic,2
b1g-fragment02_844_107_6_1_review,train,academic,2
b1g-fragment02_844_107_16_1_describes,train,academic,2
b1g-fragment02_844_107_26_1_looks,train,academic,2
b1g-fragment02_844_107_33_1_happen,train,academic,2
b1g-fragment02_846_109_9_1_fix,train,academic,2
b1g-fragment02_846_109_14_1_associated,train,academic,2
b1g-fragment02_846_109_23_1_monitoring,train,academic,2
b1g-fragment02_847_110_10_1_deciding,train,academic,2
b1g-fragment02_847_110_25_1_taking,train,academic,2
b1g-fragment02_847_110_37_1_compared,train,academic,2
b1g-fragment02_847_110_41_1_processing,train,academic,2
b1g-fragment02_847_110_48_1_involved,train,academic,2
b1g-fragment02_847_110_50_1_organizing,train,academic,2
b1g-fragment02_847_110_57_1_involved,train,academic,2
b1g-fragment02_847_110_59_1_discussed,train,academic,2
b1g-fragment02_848_111_10_1_stress,train,academic,2
b1g-fragment02_849_112_5_1_attempts,train,academic,2
b1g-fragment02_849_112_7_1_summarize,train,academic,2
b1g-fragment02_849_112_11_1_know,train,academic,2
b1g-fragment02_849_112_14_1_derived,train,academic,2
b1g-fragment02_851_114_2_1_ignoring,train,academic,2
b1g-fragment02_851_114_10_1_operate,train,academic,2
b1g-fragment02_851_114_19_1_see,train,academic,2
b1g-fragment02_851_114_22_1_see,train,academic,2
b1g-fragment02_852_115_14_1_brought,train,academic,2
b1g-fragment02_852_115_37_1_operate,train,academic,2
b1g-fragment02_853_116_9_1_require,train,academic,2
b1g-fragment02_855_118_4_1_indicates,train,academic,2
b1g-fragment02_855_118_25_1_avoid,train,academic,2
b1g-fragment02_856_119_10_1_occurring,train,academic,2
b1g-fragment02_857_120_6_1_separate,train,academic,2
b1g-fragment02_857_120_9_1_acting,train,academic,2
b1g-fragment02_857_120_26_1_leads,train,academic,2
b1g-fragment02_857_120_32_1_ejected,train,academic,2
b1g-fragment02_857_120_46_1_lead,train,academic,2
b1g-fragment02_858_121_14_1_lead,train,academic,2
b1g-fragment02_861_124_3_1_know,train,academic,2
b1g-fragment02_861_124_13_1_monitoring,train,academic,2
b1g-fragment02_861_124_19_1_risk,train,academic,2
b1g-fragment02_863_126_3_1_know,train,academic,2
b1g-fragment02_863_126_16_1_carried,train,academic,2
b1g-fragment02_863_126_23_1_make,train,academic,2
b1g-fragment02_863_126_31_1_extend,train,academic,2
b1g-fragment02_865_128_8_1_predict,train,academic,2
b1g-fragment02_865_128_22_1_collecting,train,academic,2
b1g-fragment02_865_128_28_1_believed,train,academic,2
b1g-fragment02_867_130_3_1_accept,train,academic,2
b1g-fragment02_867_130_28_1_produced,train,academic,2
b1g-fragment02_869_132_6_1_monitoring,train,academic,2
b1g-fragment02_869_132_10_1_makes,train,academic,2
b1g-fragment02_869_132_16_1_extended,train,academic,2
b1g-fragment02_869_132_23_1_see,train,academic,2
b1g-fragment02_869_132_26_1_designed,train,academic,2
b1g-fragment02_869_132_28_1_run,train,academic,2
b1g-fragment02_871_134_7_1_result,train,academic,2
b1g-fragment02_871_134_12_1_informed,train,academic,2
b1g-fragment02_872_135_5_1_given,train,academic,2
b1g-fragment02_872_135_10_1_monitoring,train,academic,2
b1g-fragment02_874_137_14_1_studied,train,academic,2
b1g-fragment02_874_137_20_1_involving,train,academic,2
b1g-fragment02_874_137_27_1_understood,train,academic,2
b1g-fragment02_875_138_5_1_attempt,train,academic,2
b1g-fragment02_875_138_7_1_forecast,train,academic,2
b1g-fragment02_875_138_16_1_using,train,academic,2
b1g-fragment02_875_138_20_1_based,train,academic,2
b1g-fragment02_876_139_5_1_shown,train,academic,2
b1g-fragment02_876_139_24_1_gives,train,academic,2
b1g-fragment02_876_139_36_1_influences,train,academic,2
b1g-fragment02_876_139_40_1_absorbed,train,academic,2
b1g-fragment02_876_139_49_1_carried,train,academic,2
b1g-fragment02_877_140_3_1_understand,train,academic,2
b1g-fragment02_877_140_18_1_need,train,academic,2
b1g-fragment02_877_140_25_1_hold,train,academic,2
b1g-fragment02_878_141_7_1_invalidate,train,academic,2
b1g-fragment02_878_141_19_1_indicate,train,academic,2
b1g-fragment02_878_141_27_1_suggest,train,academic,2
b1g-fragment02_878_141_39_1_provide,train,academic,2
b1g-fragment02_878_141_46_1_occurring,train,academic,2
b1g-fragment02_880_143_12_1_treated,train,academic,2
b1g-fragment02_881_144_1_1_given,train,academic,2
b1g-fragment02_881_144_3_1_determining,train,academic,2
b1g-fragment02_881_144_12_1_becomes,train,academic,2
b1g-fragment02_882_145_4_1_taken,train,academic,2
b1g-fragment02_882_145_13_1_show,train,academic,2
b1g-fragment02_883_146_7_1_summarized,train,academic,2
b1g-fragment02_883_146_9_1_showing,train,academic,2
b1g-fragment02_883_146_24_1_interwoven,train,academic,2
b1g-fragment02_883_146_33_1_affected,train,academic,2
b1g-fragment02_884_147_10_1_known,train,academic,2
b1g-fragment02_884_147_20_1_driven,train,academic,2
b1g-fragment02_885_148_4_1_becoming,train,academic,2
b1g-fragment02_887_150_12_1_affected,train,academic,2
b1g-fragment02_887_150_24_1_affected,train,academic,2
b1g-fragment02_888_151_4_1_embraces,train,academic,2
b1g-fragment02_888_151_27_1_described,train,academic,2
b1g-fragment02_889_152_6_1_play,train,academic,2
b1g-fragment02_890_153_27_1_known,train,academic,2
b1g-fragment02_890_153_32_1_influenced,train,academic,2
b1g-fragment02_890_153_56_1_affect,train,academic,2
b1g-fragment02_890_153_60_1_provide,train,academic,2
b1g-fragment02_891_154_16_1_increasing,train,academic,2
b1g-fragment02_892_155_8_1_dominated,train,academic,2
b1g-fragment02_893_156_11_1_influence,train,academic,2
b1g-fragment02_893_156_21_1_maintained,train,academic,2
b1g-fragment02_894_157_9_1_see,train,academic,2
b1g-fragment02_894_157_11_1_continue,train,academic,2
b1g-fragment02_894_157_13_1_increase,train,academic,2
b1g-fragment02_894_157_17_1_predicted,train,academic,2
b1g-fragment02_894_157_25_1_increase,train,academic,2
b1g-fragment02_896_159_7_1_increased,train,academic,2
b1g-fragment02_896_159_13_1_growing,train,academic,2
b1g-fragment02_897_160_6_1_led,train,academic,2
b1g-fragment02_897_160_8_1_increased,train,academic,2
b1g-fragment02_897_160_25_1_affected,train,academic,2
b1g-fragment02_898_161_4_1_stressed,train,academic,2
b1g-fragment02_898_161_9_1_outlines,train,academic,2
b1g-fragment02_898_161_22_1_know,train,academic,2
b1g-fragment02_898_161_31_1_risen,train,academic,2
b1g-fragment02_899_162_7_1_released,train,academic,2
b1g-fragment02_899_162_12_1_imply,train,academic,2
b1g-fragment02_899_162_18_1_remained,train,academic,2
b1g-fragment02_899_162_26_1_increased,train,academic,2
b1g-fragment02_900_163_8_1_seems,train,academic,2
b1g-fragment02_900_163_26_1_living,train,academic,2
b1g-fragment02_900_163_32_1_affected,train,academic,2
b1g-fragment02_901_164_3_1_play,train,academic,2
b1g-fragment02_902_165_5_1_predicated,train,academic,2
b1g-fragment02_903_166_6_1_regarded,train,academic,2
b1g-fragment02_903_166_14_1_discovered,train,academic,2
b1g-fragment02_903_166_15_1_described,train,academic,2
b1g-fragment02_903_166_27_1_predicted,train,academic,2
b1g-fragment02_903_166_35_1_known,train,academic,2
b1g-fragment02_904_167_26_1_results,train,academic,2
b1g-fragment02_904_167_32_1_existing,train,academic,2
b1g-fragment02_904_167_43_1_see,train,academic,2
b1g-fragment02_904_167_46_1_derived,train,academic,2
b1g-fragment02_905_168_11_1_argue,train,academic,2
b1g-fragment02_906_169_4_1_argue,train,academic,2
b1g-fragment02_906_169_16_1_lead,train,academic,2
b1g-fragment02_906_169_24_1_exhibit,train,academic,2
b1g-fragment02_907_170_8_1_making,train,academic,2
b1g-fragment02_908_171_4_1_recognized,train,academic,2
b1g-fragment02_909_172_6_1_accepted,train,academic,2
b1g-fragment02_909_172_36_1_imply,train,academic,2
b1g-fragment02_910_173_2_1_complicate,train,academic,2
b1g-fragment02_910_173_8_1_seems,train,academic,2
b1g-fragment02_910_173_21_1_predicted,train,academic,2
b1g-fragment02_910_173_40_1_differ,train,academic,2
b1g-fragment02_911_174_6_1_shows,train,academic,2
b1g-fragment02_911_174_28_1_increased,train,academic,2
b1g-fragment02_912_175_5_1_pointed,train,academic,2
b1g-fragment02_912_175_8_1_coping,train,academic,2
b1g-fragment02_912_175_19_1_carried,train,academic,2
b1g-fragment02_913_176_6_1_concluding,train,academic,2
b1g-fragment02_913_176_10_1_emphasizing,train,academic,2
b1g-fragment02_913_176_30_1_discussed,train,academic,2
b1g-fragment02_914_177_11_1_including,train,academic,2
b1g-fragment02_914_177_13_1_involved,train,academic,2
b1g-fragment02_914_177_31_1_reduced,train,academic,2
b1g-fragment02_914_177_36_1_predicted,train,academic,2
b1g-fragment02_915_178_2_1_giving,train,academic,2
b1g-fragment02_915_178_23_1_urged,train,academic,2
b1g-fragment02_915_178_26_1_interpreting,train,academic,2
b1g-fragment02_915_178_42_1_refined,train,academic,2
b1g-fragment02_915_178_44_1_take,train,academic,2
b1g-fragment02_915_178_56_1_predicted,train,academic,2
b1g-fragment02_916_179_11_1_writing,train,academic,2
b1g-fragment02_916_179_12_1_convinced,train,academic,2
b1g-fragment02_916_179_41_1_thought,train,academic,2
b1g-fragment02_916_179_50_1_predicted,train,academic,2
b1g-fragment02_917_180_3_1_involved,train,academic,2
b1g-fragment02_917_180_7_1_going,train,academic,2
b1g-fragment02_918_181_3_1_consider,train,academic,2
b1g-fragment02_918_181_32_1_include,train,academic,2
b1g-fragment02_919_182_6_1_seems,train,academic,2
b1g-fragment02_920_183_13_1_predict,train,academic,2
b1g-fragment02_920_183_23_1_facilitate,train,academic,2
b1g-fragment02_922_185_4_1_promoted,train,academic,2
b1g-fragment02_922_185_6_1_responded,train,academic,2
b1g-fragment02_922_185_9_1_increasing,train,academic,2
b1g-fragment02_923_186_14_1_endorsed,train,academic,2
b1g-fragment02_923_186_16_1_setting,train,academic,2
b1g-fragment02_923_186_26_1_describe,train,academic,2
b1g-fragment02_923_186_28_1_understand,train,academic,2
b1g-fragment02_923_186_37_1_regulate,train,academic,2
b1g-fragment02_923_186_46_1_provides,train,academic,2
b1g-fragment02_923_186_53_1_occurring,train,academic,2
b1g-fragment02_923_186_65_1_influenced,train,academic,2
b1g-fragment02_923_186_77_1_quoted,train,academic,2
b1g-fragment02_924_187_6_1_intended,train,academic,2
b1g-fragment02_924_187_9_1_given,train,academic,2
b1g-fragment02_924_187_14_1_deal,train,academic,2
b1g-fragment02_924_187_30_1_affect,train,academic,2
b1g-fragment02_925_188_5_1_put,train,academic,2
b1g-fragment02_925_188_9_1_concentrating,train,academic,2
b1g-fragment02_927_190_1_1_documenting,train,academic,2
b1g-fragment02_927_190_3_1_predicting,train,academic,2
b1g-fragment02_929_192_1_1_observing,train,academic,2
b1g-fragment02_929_192_3_1_improving,train,academic,2
b1g-fragment02_933_196_1_1_assessing,train,academic,2
b1g-fragment02_933_196_13_1_cause,train,academic,2
b1g-fragment02_934_197_5_1_progressed,train,academic,2
b1g-fragment02_934_197_9_1_defining,train,academic,2
b1g-fragment02_934_197_18_1_addressing,train,academic,2
b1g-fragment02_935_198_16_1_known,train,academic,2
b1g-fragment02_935_198_21_1_announced,train,academic,2
b1g-fragment02_937_200_1_1_based,train,academic,2
b1g-fragment02_937_200_5_1_working,train,academic,2
b1g-fragment02_937_200_12_1_intended,train,academic,2
b1g-fragment02_937_200_14_1_concentrate,train,academic,2
b1g-fragment02_937_200_32_1_expand,train,academic,2
b1g-fragment02_938_201_2_1_agreed,train,academic,2
b1g-fragment02_938_201_6_1_include,train,academic,2
b1g-fragment02_938_201_7_1_making,train,academic,2
b1g-fragment02_938_201_20_1_providing,train,academic,2
b1g-fragment02_938_201_28_1_undertaking,train,academic,2
b1g-fragment02_939_202_7_1_taken,train,academic,2
b1g-fragment02_940_203_9_1_made,train,academic,2
b1g-fragment02_941_204_17_1_initiated,train,academic,2
b1g-fragment02_942_205_4_1_organized,train,academic,2
b1g-fragment02_942_205_6_1_sponsored,train,academic,2
b1g-fragment02_945_208_1_1_improve,train,academic,2
b1g-fragment02_945_208_11_1_governing,train,academic,2
b1g-fragment02_947_210_2_1_explore,train,academic,2
b1g-fragment02_947_210_4_1_anticipate,train,academic,2
b1g-fragment02_947_210_7_1_affecting,train,academic,2
b1g-fragment02_949_212_1_1_identify,train,academic,2
b1g-fragment02_949_212_6_1_prevent,train,academic,2
b1g-fragment02_949_212_8_1_mitigate,train,academic,2
b1g-fragment02_949_212_16_1_adapt,train,academic,2
b1g-fragment02_951_214_5_1_dealing,train,academic,2
b1g-fragment02_951_214_11_1_promoting,train,academic,2
b1g-fragment02_952_215_5_1_provide,train,academic,2
b1g-fragment02_952_215_16_1_contribute,train,academic,2
b1g-fragment02_952_215_20_1_affected,train,academic,2
b1g-fragment02_952_215_27_1_stress,train,academic,2
b1g-fragment02_952_215_40_1_coping,train,academic,2
b1g-fragment02_953_216_3_1_proposed,train,academic,2
b1g-fragment02_954_217_11_1_concerned,train,academic,2
b1g-fragment02_954_217_19_1_share,train,academic,2
b1g-fragment02_955_218_2_1_leading,train,academic,2
b1g-fragment02_955_218_13_1_sponsored,train,academic,2
b1g-fragment02_957_220_8_1_demonstrated,train,academic,2
b1g-fragment02_958_221_13_1_come,train,academic,2
b1g-fragment02_959_222_18_1_made,train,academic,2
b1g-fragment02_959_222_21_1_tackle,train,academic,2
b1g-fragment02_959_222_22_1_existing,train,academic,2
b1g-fragment02_959_222_23_1_let,train,academic,2
b1g-fragment02_960_223_10_1_described,train,academic,2
b1g-fragment02_960_223_14_1_manifested,train,academic,2
b1g-fragment02_960_223_21_1_spend,train,academic,2
b1g-fragment02_960_223_55_1_succeeding,train,academic,2
b1g-fragment02_961_224_11_1_increasing,train,academic,2
b1g-fragment02_962_225_4_1_bringing,train,academic,2
b1g-fragment02_962_225_15_1_known,train,academic,2
b1g-fragment02_962_225_21_1_made,train,academic,2
b1g-fragment02_963_226_3_1_argues,train,academic,2
b1g-fragment02_963_226_37_1_brought,train,academic,2
b1g-fragment02_963_226_43_1_described,train,academic,2
b1g-fragment02_964_227_10_1_assist,train,academic,2
b1g-fragment02_964_227_18_1_achieve,train,academic,2
b1g-fragment02_964_227_21_1_set,train,academic,2
b1g-fragment02_964_227_39_1_seen,train,academic,2
b1g-fragment02_964_227_70_1_comes,train,academic,2
b1g-fragment02_965_228_8_1_comprising,train,academic,2
b1g-fragment02_965_228_14_1_envisaged,train,academic,2
b1g-fragment02_967_230_2_1_provide,train,academic,2
b1g-fragment02_967_230_9_1_participating,train,academic,2
b1g-fragment02_967_230_17_1_requested,train,academic,2
b1g-fragment02_969_232_3_1_provide,train,academic,2
b1g-fragment02_969_232_9_1_requested,train,academic,2
b1g-fragment02_971_234_2_1_stimulate,train,academic,2
b1g-fragment02_971_234_25_1_taken,train,academic,2
b1g-fragment02_973_236_2_1_help,train,academic,2
b1g-fragment02_973_236_3_1_ensure,train,academic,2
b1g-fragment02_973_236_28_1_established,train,academic,2
b1g-fragment02_974_237_4_1_laid,train,academic,2
b1g-fragment02_975_238_3_1_envisaged,train,academic,2
b1g-fragment02_975_238_10_1_extend,train,academic,2
b1g-fragment02_975_238_12_1_existing,train,academic,2
b1g-fragment02_975_238_22_1_addressing,train,academic,2
b1g-fragment02_976_239_6_1_include,train,academic,2
b1g-fragment02_976_239_17_1_including,train,academic,2
b1g-fragment02_977_240_10_1_approved,train,academic,2
b1g-fragment02_978_241_2_1_seems,train,academic,2
b1g-fragment02_978_241_8_1_growing,train,academic,2
b1g-fragment02_979_242_4_3_means,train,academic,2
b1g-fragment02_979_242_24_1_published,train,academic,2
b1g-fragment02_979_242_42_1_made,train,academic,2
b1g-fragment02_979_242_47_1_develop,train,academic,2
b1g-fragment02_981_244_9_1_carried,train,academic,2
b1g-fragment02_982_245_1_1_derived,train,academic,2
b1g-fragment02_982_245_9_1_predicted,train,academic,2
b1g-fragment02_982_245_18_1_become,train,academic,2
b1g-fragment02_983_246_7_1_made,train,academic,2
b1g-fragment02_983_246_25_1_donated,train,academic,2
b1g-fragment02_983_246_37_1_supporting,train,academic,2
